Performance Statistics   2019-07-11 18:36:00 - 2019-07-11 18:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$User.browse#inject                                  18,0          18          18         0,0           1
sec$User.browse#load                                  1107,0        1107        1107         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      7,0           0          14         7,0           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                806,0         806         806         0,0           1

Performance Statistics   2019-07-11 20:44:00 - 2019-07-11 20:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary$UserClass.browse              2737,0        2737        2737         0,0           1
MenuItem.utilitylibrary_Status.browse                  266,0         266         266         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     254,0         254         254         0,0           1
loginWindow#init                                        38,0          38          38         0,0           1
loginWindow#inject                                      93,0          93          93         0,0           1
loginWindow#load                                      1198,0        1198        1198         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         11,0           0          22        11,0           2
lookupWindowActions#create                              22,0          22          22         0,0           1
lookupWindowActions#inject                               9,0           9           9         0,0           1
lookupWindowActions#load                                15,0          15          15         0,0           1
lookupWindowActions#xml                                  0,5           0           3         1,1           6
mainWindow#afterShow                                     7,0           7           7         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       15,0          15          15         0,0           1
mainWindow#init                                         38,0          38          38         0,0           1
mainWindow#inject                                       25,0          25          25         0,0           1
mainWindow#load                                        486,0         486         486         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           3,0           0           6         3,0           2
sec$User.browse#afterShow                                6,0           6           6         0,0           1
sec$User.browse#beforeShow                               0,0           0           0         0,0           1
sec$User.browse#create                                  36,0          36          36         0,0           1
sec$User.browse#init                                    13,0          13          13         0,0           1
sec$User.browse#inject                                  23,0          23          23         0,0           1
sec$User.browse#load                                  1416,0        1416        1416         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      7,5           0          15         7,5           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                867,0         867         867         0,0           1
utilitylibrary_Status.browse#afterShow                   0,0           0           0         0,0           1
utilitylibrary_Status.browse#beforeShow                 22,0          22          22         0,0           1
utilitylibrary_Status.browse#create                      1,0           1           1         0,0           1
utilitylibrary_Status.browse#init                        1,0           1           1         0,0           1
utilitylibrary_Status.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Status.browse#load                      165,0         165         165         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         8,0           8           8         0,0           1
utilitylibrary_Status.edit#afterShow                     0,0           0           0         0,0           1
utilitylibrary_Status.edit#beforeShow                    6,0           6           6         0,0           1
utilitylibrary_Status.edit#create                        3,0           3           3         0,0           1
utilitylibrary_Status.edit#init                          2,0           2           2         0,0           1
utilitylibrary_Status.edit#inject                        6,0           6           6         0,0           1
utilitylibrary_Status.edit#load                        992,0         992         992         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           5,0           5           5         0,0           1

Performance Statistics   2019-07-11 20:50:00 - 2019-07-11 20:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     323,0         323         323         0,0           1
loginWindow#init                                        59,0          59          59         0,0           1
loginWindow#inject                                     117,0         117         117         0,0           1
loginWindow#load                                      1038,0        1038        1038         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         13,0           0          26        13,0           2
mainWindow#afterShow                                     6,0           6           6         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       13,0          13          13         0,0           1
mainWindow#init                                         32,0          32          32         0,0           1
mainWindow#inject                                       30,0          30          30         0,0           1
mainWindow#load                                        519,0         519         519         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           3,0           0           6         3,0           2

Performance Statistics   2019-07-11 20:52:00 - 2019-07-11 20:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary$UserClass.browse              2534,0        2534        2534         0,0           1
editWindowActions#create                                34,0          34          34         0,0           1
editWindowActions#xml                                   11,0           3          19         8,0           2
lookupWindowActions#create                              23,0          23          23         0,0           1
lookupWindowActions#inject                               8,0           8           8         0,0           1
lookupWindowActions#load                                13,0          13          13         0,0           1
lookupWindowActions#xml                                  0,5           0           3         1,1           6
sec$User.browse#afterShow                                6,0           6           6         0,0           1
sec$User.browse#beforeShow                               0,0           0           0         0,0           1
sec$User.browse#create                                  28,0          28          28         0,0           1
sec$User.browse#init                                    11,0          11          11         0,0           1
sec$User.browse#inject                                  17,0          17          17         0,0           1
sec$User.browse#load                                  1331,0        1331        1331         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      8,0           0          16         8,0           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                776,0         776         776         0,0           1
sec$User.edit#afterShow                                  0,0           0           0         0,0           1
sec$User.edit#beforeShow                                 0,0           0           0         0,0           1
sec$User.edit#companion                                  7,0           7           7         0,0           1
sec$User.edit#create                                     4,0           4           4         0,0           1
sec$User.edit#init                                     150,0         150         150         0,0           1
sec$User.edit#inject                                     6,0           0          12         6,0           2
sec$User.edit#load                                     828,0         828         828         0,0           1
sec$User.edit#uiPermissions                              0,0           0           0         0,0           1
sec$User.edit#xml                                        5,6           0          28        11,2           5
sec$User.edit.windowActions#init                         0,0           0           0         0,0           1
sec$User.edit.windowActions#load                         0,0           0           0         0,0           1

Performance Statistics   2019-07-11 20:54:00 - 2019-07-11 20:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 20:56:00 - 2019-07-11 20:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 20:58:00 - 2019-07-11 21:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 21:00:00 - 2019-07-11 21:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 21:02:00 - 2019-07-11 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 21:04:00 - 2019-07-11 21:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 21:06:00 - 2019-07-11 21:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 21:08:00 - 2019-07-11 21:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 21:10:00 - 2019-07-11 21:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Status.browse                 1532,0        1532        1532         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     356,0         356         356         0,0           1
loginWindow#init                                        33,0          33          33         0,0           1
loginWindow#inject                                      89,0          89          89         0,0           1
loginWindow#load                                      1316,0        1316        1316         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         12,5           0          25        12,5           2
mainWindow#afterShow                                     8,0           8           8         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       18,0          18          18         0,0           1
mainWindow#init                                         52,0          52          52         0,0           1
mainWindow#inject                                       50,0          50          50         0,0           1
mainWindow#load                                        776,0         776         776         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           3,0           0           6         3,0           2
utilitylibrary_Status.browse#afterShow                   6,0           6           6         0,0           1
utilitylibrary_Status.browse#beforeShow                 31,0          31          31         0,0           1
utilitylibrary_Status.browse#create                     18,0          18          18         0,0           1
