Performance Statistics   2019-07-11 18:36:00 - 2019-07-11 18:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$UserSubstitution.edit@users                         21,0          21          21         0,0           1
utilitylibrary_Status.browse#afterShow                   0,0           0           0         0,0           1
utilitylibrary_Status.browse#beforeShow                 15,0          15          15         0,0           1
utilitylibrary_Status.browse#create                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#init                        0,0           0           0         0,0           1
utilitylibrary_Status.browse#inject                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#load                      144,0         144         144         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         5,0           5           5         0,0           1
utilitylibrary_Status.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Status.edit#init                          1,0           1           1         0,0           1
utilitylibrary_Status.edit#inject                       13,0          13          13         0,0           1
utilitylibrary_Status.edit#load                        127,0         127         127         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           3,0           3           3         0,0           1

Performance Statistics   2019-07-11 21:34:00 - 2019-07-11 21:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary$UserClass.browse              2150,0        2150        2150         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     424,0         424         424         0,0           1
loginWindow#init                                        36,0          36          36         0,0           1
loginWindow#inject                                      92,0          92          92         0,0           1
loginWindow#load                                      1487,0        1487        1487         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                          9,5           0          19         9,5           2
lookupWindowActions#create                              22,0          22          22         0,0           1
lookupWindowActions#inject                               7,0           7           7         0,0           1
lookupWindowActions#load                                13,0          13          13         0,0           1
lookupWindowActions#xml                                  0,3           0           2         0,7           6
mainWindow#afterShow                                     8,0           8           8         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       16,0          16          16         0,0           1
mainWindow#init                                         47,0          47          47         0,0           1
mainWindow#inject                                       28,0          28          28         0,0           1
mainWindow#load                                        585,0         585         585         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           3,0           0           6         3,0           2
sec$User.browse#afterShow                                8,0           8           8         0,0           1
sec$User.browse#beforeShow                               0,0           0           0         0,0           1
sec$User.browse#create                                  23,0          23          23         0,0           1
sec$User.browse#init                                    13,0          13          13         0,0           1
sec$User.browse#inject                                  18,0          18          18         0,0           1
sec$User.browse#load                                  1021,0        1021        1021         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      5,5           0          11         5,5           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                725,0         725         725         0,0           1

Performance Statistics   2019-07-11 21:36:00 - 2019-07-11 21:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 21:44:00 - 2019-07-11 21:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary$UserClass.browse              2382,0        2382        2382         0,0           1
MenuItem.utilitylibrary_Author.browse                   54,0          54          54         0,0           1
MenuItem.utilitylibrary_Book.browse                     65,0          65          65         0,0           1
MenuItem.utilitylibrary_Status.browse                  172,0         172         172         0,0           1
editWindowActions#create                                 1,0           1           1         0,0           1
editWindowActions#xml                                    1,5           0           3         1,5           2
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     328,0         328         328         0,0           1
loginWindow#init                                        44,0          44          44         0,0           1
loginWindow#inject                                      95,0          95          95         0,0           1
loginWindow#load                                      1112,0        1112        1112         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         14,0           0          28        14,0           2
lookupWindowActions#create                              67,0          67          67         0,0           1
lookupWindowActions#inject                               8,0           8           8         0,0           1
lookupWindowActions#load                                13,0          13          13         0,0           1
lookupWindowActions#xml                                  0,7           0           3         1,1           6
mainWindow#afterShow                                     5,0           5           5         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       18,0          18          18         0,0           1
mainWindow#init                                         47,0          47          47         0,0           1
mainWindow#inject                                       35,0          35          35         0,0           1
mainWindow#load                                        680,0         680         680         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           3,0           0           6         3,0           2
sec$User.browse#afterShow                                8,0           8           8         0,0           1
sec$User.browse#beforeShow                               0,0           0           0         0,0           1
sec$User.browse#create                                  37,0          37          37         0,0           1
sec$User.browse#init                                    17,0          17          17         0,0           1
sec$User.browse#inject                                  23,0          23          23         0,0           1
sec$User.browse#load                                  1109,0        1109        1109         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      7,5           0          15         7,5           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                771,0         771         771         0,0           1
sec$User.edit#afterShow                                  0,0           0           0         0,0           1
sec$User.edit#beforeShow                                 0,0           0           0         0,0           1
sec$User.edit#companion                                  6,0           6           6         0,0           1
sec$User.edit#create                                     6,0           6           6         0,0           1
sec$User.edit#init                                     131,0         131         131         0,0           1
sec$User.edit#inject                                     4,5           0           9         4,5           2
sec$User.edit#load                                     845,0         845         845         0,0           1
sec$User.edit#uiPermissions                              0,0           0           0         0,0           1
sec$User.edit#xml                                        2,6           0          13         5,2           5
sec$User.edit.windowActions#init                         0,0           0           0         0,0           1
sec$User.edit.windowActions#load                         0,0           0           0         0,0           1
utilitylibrary_Author.browse#afterShow                   0,0           0           0         0,0           3
utilitylibrary_Author.browse#beforeShow                 12,0           8          16         3,3           3
utilitylibrary_Author.browse#create                      0,0           0           0         0,0           3
utilitylibrary_Author.browse#init                        0,0           0           0         0,0           3
utilitylibrary_Author.browse#inject                      0,0           0           0         0,0           3
utilitylibrary_Author.browse#load                        8,0           4          13         3,7           3
utilitylibrary_Author.browse#uiPermissions               0,0           0           0         0,0           3
utilitylibrary_Author.browse#xml                         1,7           0           3         1,2           3
utilitylibrary_Author.edit#afterShow                     0,0           0           0         0,0           3
utilitylibrary_Author.edit#beforeShow                    0,0           0           0         0,0           3
utilitylibrary_Author.edit#create                        0,0           0           0         0,0           3
utilitylibrary_Author.edit#init                          0,0           0           0         0,0           3
utilitylibrary_Author.edit#inject                        0,0           0           0         0,0           3
utilitylibrary_Author.edit#load                         13,3           3          34        14,6           3
utilitylibrary_Author.edit#uiPermissions                 0,0           0           0         0,0           3
utilitylibrary_Author.edit#xml                           1,7           0           3         1,2           3
utilitylibrary_Book.browse#afterShow                     0,0           0           0         0,0           1
utilitylibrary_Book.browse#beforeShow                    9,0           9           9         0,0           1
utilitylibrary_Book.browse#create                       14,0          14          14         0,0           1
utilitylibrary_Book.browse#init                          0,0           0           0         0,0           1
utilitylibrary_Book.browse#inject                        0,0           0           0         0,0           1
utilitylibrary_Book.browse#load                         11,0          11          11         0,0           1
utilitylibrary_Book.browse#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Book.browse#xml                           5,0           5           5         0,0           1
utilitylibrary_Book.edit#afterShow                       0,0           0           0         0,0           1
utilitylibrary_Book.edit#beforeShow                      0,0           0           0         0,0           1
utilitylibrary_Book.edit#create                          0,0           0           0         0,0           1
utilitylibrary_Book.edit#init                            0,0           0           0         0,0           1
utilitylibrary_Book.edit#inject                          0,0           0           0         0,0           1
utilitylibrary_Book.edit#load                           20,0          20          20         0,0           1
utilitylibrary_Book.edit#uiPermissions                   0,0           0           0         0,0           1
utilitylibrary_Book.edit#xml                             2,0           2           2         0,0           1
utilitylibrary_Status.browse#afterShow                   0,0           0           0         0,0           1
utilitylibrary_Status.browse#beforeShow                 13,0          13          13         0,0           1
utilitylibrary_Status.browse#create                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#init                        0,0           0           0         0,0           1
utilitylibrary_Status.browse#inject                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#load                      114,0         114         114         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         5,0           5           5         0,0           1
utilitylibrary_Status.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Status.edit#init                          1,0           1           1         0,0           1
utilitylibrary_Status.edit#inject                       18,0          18          18         0,0           1
utilitylibrary_Status.edit#load                        251,0         251         251         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           3,0           3           3         0,0           1

Performance Statistics   2019-07-11 21:46:00 - 2019-07-11 21:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Status.browse                   60,0          60          60         0,0           1
utilitylibrary_Status.browse#afterShow                   0,0           0           0         0,0           1
utilitylibrary_Status.browse#beforeShow                  9,0           9           9         0,0           1
utilitylibrary_Status.browse#create                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#init                        0,0           0           0         0,0           1
utilitylibrary_Status.browse#inject                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#load                        9,0           9           9         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         2,0           2           2         0,0           1
utilitylibrary_Status.edit#create                        0,0           0           0         0,0           1
utilitylibrary_Status.edit#init                          0,0           0           0         0,0           1
utilitylibrary_Status.edit#inject                        0,0           0           0         0,0           1
utilitylibrary_Status.edit#load                          2,0           2           2         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           2,0           2           2         0,0           1

Performance Statistics   2019-07-11 21:48:00 - 2019-07-11 21:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 21:50:00 - 2019-07-11 21:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 22:52:00 - 2019-07-11 22:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary$UserClass.browse              3249,0        3249        3249         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   2,0           2           2         0,0           1
loginWindow#create                                     378,0         378         378         0,0           1
loginWindow#init                                        64,0          64          64         0,0           1
loginWindow#inject                                     155,0         155         155         0,0           1
loginWindow#load                                      1292,0        1292        1292         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         26,0           0          52        26,0           2
lookupWindowActions#create                              22,0          22          22         0,0           1
lookupWindowActions#inject                               6,0           6           6         0,0           1
lookupWindowActions#load                                12,0          12          12         0,0           1
lookupWindowActions#xml                                 18,0           0         108        40,2           6
mainWindow#afterShow                                    11,0          11          11         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       17,0          17          17         0,0           1
mainWindow#init                                         41,0          41          41         0,0           1
mainWindow#inject                                       24,0          24          24         0,0           1
mainWindow#load                                        676,0         676         676         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           4,0           0           8         4,0           2
sec$User.browse#afterShow                                8,0           8           8         0,0           1
sec$User.browse#beforeShow                               0,0           0           0         0,0           1
sec$User.browse#create                                  34,0          34          34         0,0           1
sec$User.browse#init                                    11,0          11          11         0,0           1
sec$User.browse#inject                                  19,0          19          19         0,0           1
sec$User.browse#load                                  1825,0        1825        1825         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                     28,5           0          57        28,5           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                818,0         818         818         0,0           1

Performance Statistics   2019-07-11 22:58:00 - 2019-07-11 23:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Book.browse                   1597,0        1597        1597         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     449,0         449         449         0,0           1
loginWindow#init                                        36,0          36          36         0,0           1
loginWindow#inject                                     133,0         133         133         0,0           1
loginWindow#load                                      1094,0        1094        1094         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         20,0           0          40        20,0           2
mainWindow#afterShow                                     8,0           8           8         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       17,0          17          17         0,0           1
mainWindow#init                                         50,0          50          50         0,0           1
mainWindow#inject                                       18,0          18          18         0,0           1
mainWindow#load                                        582,0         582         582         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           3,0           0           6         3,0           2
utilitylibrary_Author.browse#create                      0,0           0           0         0,0           2
utilitylibrary_Author.browse#init                        0,5           0           1         0,5           2
utilitylibrary_Author.browse#inject                      0,0           0           0         0,0           2
utilitylibrary_Author.browse#load                       12,5           9          16         3,5           2
utilitylibrary_Author.browse#uiPermissions               0,0           0           0         0,0           2
utilitylibrary_Author.browse#xml                         3,5           1           6         2,5           2
utilitylibrary_Book.browse#afterShow                     6,0           6           6         0,0           1
utilitylibrary_Book.browse#beforeShow                   74,0          74          74         0,0           1
utilitylibrary_Book.browse#create                       21,0          21          21         0,0           1
utilitylibrary_Book.browse#init                          2,0           2           2         0,0           1
utilitylibrary_Book.browse#inject                        0,0           0           0         0,0           1
utilitylibrary_Book.browse#load                       1320,0        1320        1320         0,0           1
utilitylibrary_Book.browse#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Book.browse#xml                           6,0           6           6         0,0           1

Performance Statistics   2019-07-11 23:00:00 - 2019-07-11 23:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     285,0         285         285         0,0           1
loginWindow#init                                        53,0          53          53         0,0           1
loginWindow#inject                                      99,0          99          99         0,0           1
loginWindow#load                                      1055,0        1055        1055         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         14,5           0          29        14,5           2
mainWindow#afterShow                                     6,0           6           6         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       14,0          14          14         0,0           1
mainWindow#init                                         35,0          35          35         0,0           1
mainWindow#inject                                       21,0          21          21         0,0           1
mainWindow#load                                        619,0         619         619         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,5           0           5         2,5           2
utilitylibrary_Author.browse#create                     20,0          20          20         0,0           1
utilitylibrary_Author.browse#init                        2,0           2           2         0,0           1
utilitylibrary_Author.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Author.browse#load                     1114,0        1114        1114         0,0           1
utilitylibrary_Author.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Author.browse#xml                         8,0           8           8         0,0           1

Performance Statistics   2019-07-11 23:02:00 - 2019-07-11 23:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2019-07-11 23:06:00 - 2019-07-11 23:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     361,0         361         361         0,0           1
loginWindow#init                                        33,0          33          33         0,0           1
loginWindow#inject                                      85,0          85          85         0,0           1
loginWindow#load                                       960,0         960         960         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         13,0           0          26        13,0           2
mainWindow#afterShow                                     7,0           7           7         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       13,0          13          13         0,0           1
mainWindow#init                                         33,0          33          33         0,0           1
mainWindow#inject                                       23,0          23          23         0,0           1
mainWindow#load                                        461,0         461         461         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,0           0           4         2,0           2
utilitylibrary_Author.browse#create                     24,0          24          24         0,0           1
utilitylibrary_Author.browse#init                        2,0           2           2         0,0           1
utilitylibrary_Author.browse#inject                      0,0           0           0         0,0           1
utilitylibrary_Author.browse#load                     1090,0        1090        1090         0,0           1
utilitylibrary_Author.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Author.browse#xml                         9,0           9           9         0,0           1

Performance Statistics   2019-07-11 23:08:00 - 2019-07-11 23:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Author.browse                 1169,0        1169        1169         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     328,0         328         328         0,0           1
loginWindow#init                                        31,0          31          31         0,0           1
loginWindow#inject                                      97,0          97          97         0,0           1
loginWindow#load                                       885,0         885         885         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         10,5           0          21        10,5           2
mainWindow#afterShow                                     5,0           5           5         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       13,0          13          13         0,0           1
mainWindow#init                                         37,0          37          37         0,0           1
mainWindow#inject                                       23,0          23          23         0,0           1
mainWindow#load                                        432,0         432         432         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,5           0           5         2,5           2
utilitylibrary_Author.browse#afterShow                   6,0           6           6         0,0           1
utilitylibrary_Author.browse#beforeShow                 67,0          67          67         0,0           1
utilitylibrary_Author.browse#create                     19,0          19          19         0,0           1
utilitylibrary_Author.browse#init                        1,0           1           1         0,0           1
utilitylibrary_Author.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Author.browse#load                      927,0         927         927         0,0           1
utilitylibrary_Author.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Author.browse#xml                         5,0           5           5         0,0           1
utilitylibrary_Author.edit#afterShow                     0,0           0           0         0,0           1
utilitylibrary_Author.edit#beforeShow                   18,0          18          18         0,0           1
utilitylibrary_Author.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Author.edit#init                          1,0           1           1         0,0           1
utilitylibrary_Author.edit#inject                        5,0           5           5         0,0           1
utilitylibrary_Author.edit#load                        554,0         554         554         0,0           1
utilitylibrary_Author.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Author.edit#xml                           5,0           5           5         0,0           1
utilitylibrary_Book.browse#afterShow                     0,0           0           0         0,0           1
utilitylibrary_Book.browse#beforeShow                   14,0          14          14         0,0           1
utilitylibrary_Book.browse#create                        0,0           0           0         0,0           1
utilitylibrary_Book.browse#init                          0,0           0           0         0,0           1
utilitylibrary_Book.browse#inject                        1,0           1           1         0,0           1
utilitylibrary_Book.browse#load                         13,0          13          13         0,0           1
utilitylibrary_Book.browse#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Book.browse#xml                           3,0           3           3         0,0           1

Performance Statistics   2019-07-11 23:12:00 - 2019-07-11 23:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Author.browse                 1163,0        1163        1163         0,0           1
MenuItem.utilitylibrary_Status.browse                   71,0          71          71         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     336,0         336         336         0,0           1
loginWindow#init                                        31,0          31          31         0,0           1
loginWindow#inject                                      70,0          70          70         0,0           1
loginWindow#load                                       889,0         889         889         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         11,5           0          23        11,5           2
lookupWindowActions#create                              22,0          22          22         0,0           1
lookupWindowActions#inject                               5,0           5           5         0,0           1
lookupWindowActions#load                                10,0          10          10         0,0           1
lookupWindowActions#xml                                  0,3           0           2         0,7           6
mainWindow#afterShow                                     5,0           5           5         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       17,0          17          17         0,0           1
mainWindow#init                                         39,0          39          39         0,0           1
mainWindow#inject                                       25,0          25          25         0,0           1
mainWindow#load                                        502,0         502         502         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,0           0           4         2,0           2
sec$User.lookup#afterShow                                0,0           0           0         0,0           1
sec$User.lookup#beforeShow                               0,0           0           0         0,0           1
sec$User.lookup#create                                   1,0           1           1         0,0           1
sec$User.lookup#init                                     5,0           5           5         0,0           1
sec$User.lookup#inject                                  12,0          12          12         0,0           1
sec$User.lookup#load                                   118,0         118         118         0,0           1
sec$User.lookup#uiPermissions                            0,0           0           0         0,0           1
sec$User.lookup#xml                                      1,0           0           2         1,0           2
sec$User.lookup.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.lookup@usersDs                                826,0         826         826         0,0           1
utilitylibrary_Author.browse#afterShow                   6,0           6           6         0,0           1
utilitylibrary_Author.browse#beforeShow                 62,0          62          62         0,0           1
utilitylibrary_Author.browse#create                     18,0          18          18         0,0           1
utilitylibrary_Author.browse#init                        1,0           1           1         0,0           1
utilitylibrary_Author.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Author.browse#load                      944,0         944         944         0,0           1
utilitylibrary_Author.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Author.browse#xml                         6,0           6           6         0,0           1
utilitylibrary_Author.edit#afterShow                     0,0           0           0         0,0           1
utilitylibrary_Author.edit#beforeShow                   64,0          64          64         0,0           1
utilitylibrary_Author.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Author.edit#init                          2,0           2           2         0,0           1
utilitylibrary_Author.edit#inject                        6,0           6           6         0,0           1
utilitylibrary_Author.edit#load                        483,0         483         483         0,0           1
utilitylibrary_Author.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Author.edit#xml                           5,0           5           5         0,0           1
utilitylibrary_Book.browse#afterShow                     0,0           0           0         0,0           2
utilitylibrary_Book.browse#beforeShow                    9,5           8          11         1,5           2
utilitylibrary_Book.browse#create                        0,0           0           0         0,0           2
utilitylibrary_Book.browse#init                          0,0           0           0         0,0           2
utilitylibrary_Book.browse#inject                        0,0           0           0         0,0           2
utilitylibrary_Book.browse#load                          9,0           5          13         4,0           2
utilitylibrary_Book.browse#uiPermissions                 0,0           0           0         0,0           2
utilitylibrary_Book.browse#xml                           2,0           1           3         1,0           2
utilitylibrary_Status.browse#afterShow                   0,0           0           0         0,0           1
utilitylibrary_Status.browse#beforeShow                 16,0          16          16         0,0           1
utilitylibrary_Status.browse#create                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#init                        0,0           0           0         0,0           1
utilitylibrary_Status.browse#inject                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#load                       17,0          17          17         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         3,0           3           3         0,0           1
utilitylibrary_Status.edit#afterShow                     0,0           0           0         0,0           1
utilitylibrary_Status.edit#beforeShow                    2,0           2           2         0,0           1
utilitylibrary_Status.edit#create                        0,0           0           0         0,0           1
utilitylibrary_Status.edit#init                          0,0           0           0         0,0           1
utilitylibrary_Status.edit#inject                        0,0           0           0         0,0           1
utilitylibrary_Status.edit#load                        168,0         168         168         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           2,0           2           2         0,0           1

Performance Statistics   2019-07-11 23:16:00 - 2019-07-11 23:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     383,0         383         383         0,0           1
loginWindow#init                                        39,0          39          39         0,0           1
loginWindow#inject                                     108,0         108         108         0,0           1
loginWindow#load                                      1097,0        1097        1097         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         15,5           0          31        15,5           2
mainWindow#afterShow                                     7,0           7           7         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       14,0          14          14         0,0           1
mainWindow#init                                         46,0          46          46         0,0           1
mainWindow#inject                                       33,0          33          33         0,0           1
mainWindow#load                                        578,0         578         578         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           4,0           0           8         4,0           2
utilitylibrary_Status.browse#create                     37,0          37          37         0,0           1
utilitylibrary_Status.browse#init                        1,0           1           1         0,0           1
utilitylibrary_Status.browse#inject                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#load                     1095,0        1095        1095         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                        11,0          11          11         0,0           1

Performance Statistics   2019-07-11 23:18:00 - 2019-07-11 23:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Author.browse                 1357,0        1357        1357         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     260,0         260         260         0,0           1
loginWindow#init                                        35,0          35          35         0,0           1
loginWindow#inject                                      81,0          81          81         0,0           1
loginWindow#load                                       946,0         946         946         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         16,0           0          32        16,0           2
mainWindow#afterShow                                     6,0           6           6         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       15,0          15          15         0,0           1
mainWindow#init                                         32,0          32          32         0,0           1
mainWindow#inject                                       21,0          21          21         0,0           1
mainWindow#load                                        476,0         476         476         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,0           0           4         2,0           2
utilitylibrary_Author.browse#afterShow                   6,0           6           6         0,0           1
utilitylibrary_Author.browse#beforeShow                 64,0          64          64         0,0           1
utilitylibrary_Author.browse#create                     28,0          28          28         0,0           1
utilitylibrary_Author.browse#init                        2,0           2           2         0,0           1
utilitylibrary_Author.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Author.browse#load                     1093,0        1093        1093         0,0           1
utilitylibrary_Author.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Author.browse#xml                         8,0           8           8         0,0           1
utilitylibrary_Status.browse#create                      0,0           0           0         0,0           1
utilitylibrary_Status.browse#init                        0,0           0           0         0,0           1
utilitylibrary_Status.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Status.browse#load                       37,0          37          37         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         5,0           5           5         0,0           1

Performance Statistics   2019-07-11 23:22:00 - 2019-07-11 23:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Status.browse                 1813,0        1813        1813         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     361,0         361         361         0,0           1
loginWindow#init                                        35,0          35          35         0,0           1
loginWindow#inject                                     146,0         146         146         0,0           1
loginWindow#load                                      1131,0        1131        1131         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         11,5           0          23        11,5           2
lookupWindowActions#create                              26,0          26          26         0,0           1
lookupWindowActions#inject                               7,0           7           7         0,0           1
lookupWindowActions#load                                14,0          14          14         0,0           1
